subject,Jung,OpenJGraph,JGrapht,Grappa
3.89166815,0,0,0,0
3.892850519,0,0,0,0
3.894030643,0,0,0,0
3.895208529,0.21,0,0,0
3.896384187,0,0,0,0
3.897557624,0,0,0,0
3.89872885,0,0,0,0
3.899897872,0.21,0,0,0
3.901064698,0,0,0,0
3.902229338,0,0,0,0
3.903391798,0,0,0,0
3.904552088,0,0,0,0
3.905710215,0,0,0,0
3.906866187,0,0,0,0
3.908020013,0,0,0,0
3.9091717,0,0,0,0
3.910321256,0,0,0,0
3.911468689,0,0,0,0
3.912614007,0,0,0,0
3.913757218,0,0,0,0
3.914898329,0,0,0,0
3.916037349,0.21,0,0,0
3.917174284,0,0,0,0
3.918309143,0,0,0,0
3.919441932,0,0,0,0
3.92057266,0,0,0,0
3.921701335,0,0,0,0
3.922827962,0,0,0,0
3.923952551,0,0,0,0
3.925075107,0,0,0,0
3.926195639,0,0,0,0
3.927314154,0,0,0,0
3.92843066,0,0,0,0
3.929545162,0,0,0,0
3.930657669,0,0,0,0
3.931768187,0,0,0,0
3.932876725,0,0,0,0
3.933983288,0,0,0,0
3.935087883,0,0,0,0
3.936190519,0,0,0,0
3.937291201,0,0,0,0
3.938389937,0,0,0,0
3.939486733,0,0,0,0
3.940581597,0,0,0,0
3.941674534,0,0,0,0
3.942765553,0,0,0,0
3.943854659,0,0,0,0
3.94494186,0,0,0,0
3.946027161,0,0,0,0
3.94711057,0,0,0,0
3.948192093,0,0,0,0
3.949271737,0,0,0,0
3.950349509,0,0,0,0
3.951425414,0,0,0,0
3.952499459,0,0,0,0
3.95357165,0,0,0,0
3.954641995,0,0,0,0
3.955710499,0,0,0,0
3.956777169,0,0,0,0
3.95784201,0,0,0,0
3.95890503,0,0,0,0
3.959966234,0,0,0,0
3.961025629,0.21,0,0,0
3.962083221,0,0,0,0
3.963139015,0,0,0,0
3.964193019,0,0,0,0
3.965245238,0,0,0,0
3.966295677,0,0,0,0
3.967344344,0,0,0,0
3.968391244,0,0,0,0
3.969436383,0,0,0,0
3.970479767,0,0,0,0
3.971521401,0,0,0,0
3.972561293,0,0,0,0
3.973599447,0,0,0,0
3.974635869,0,0,0,0
3.975670565,0,0,0,0
3.976703541,0,0,0,0
3.977734802,0,0,0,0
3.978764355,0,0,0,0
3.979792205,0,0,0,0
3.980818357,0,0,0,0
3.981842817,0,0,0,0
3.982865591,0,0,0,0
3.983886684,0,0,0,0
3.984906101,0,0,0,0
3.985923849,0,0,0,0
3.986939933,0.682606194,0,0,0
3.987954357,0,0,0,0
3.988967129,0,0,0,0
3.989978252,0,0,0,0
3.990987732,0,0,0,0
3.991995575,0.430676558,0,0,0
3.993001785,0,0,0,0
3.994006369,0,0,0,0
3.995009331,0,0,0,0
3.996010677,0,0,0,0
3.997010412,0,0,0,0
3.99800854,0,0,0,0
3.999005068,0,0,0,0
4,0,0,0,0
4.000993341,0,0,0,0
4.001985097,0,0,0,0
