$$ Transaction 0 $$
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForNOTES] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForISPUBLIC] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForMINTHRESHOLD] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForMAXTHRESHOLD] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryKey] [hashCode] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [-init-] [Average Execution Time:0.00012] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [-init-] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getNumberOfFields] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [setEntityContext] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [setEntityContext] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [_WSCB_getInstanceInfo] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [ejbActivate] [Average Execution Time:0.00005] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [ejbActivate] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [ejbLoad] [Average Execution Time:0.00034] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryKey] [equals] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [hydrate] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [ejbLoad] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [-init-] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.StoreItem] [-init-] [Average Execution Time:0.0166] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getID] [Average Execution Time:0.00154] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [getID] [Average Execution Time:0.0001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getInventoryID] [Average Execution Time:0.00007] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getInventoryID] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getName] [Average Execution Time:0.00122] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getName] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getName] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getHeading] [Average Execution Time:0.00118] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getHeading] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getHeading] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getDescription] [Average Execution Time:0.00117] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getDescription] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getDescription] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getPkginfo] [Average Execution Time:0.0013] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getPkginfo] [Average Execution Time:0.00008] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getPkginfo] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getImage] [Average Execution Time:0.00123] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getImage] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getImage] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getPrice] [Average Execution Time:0.00124] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getPrice] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getPrice] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getCost] [Average Execution Time:0.00169] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getCost] [Average Execution Time:0.00009] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [getCost] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [getCategory] [Average Execution Time:0.0017] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getCategory] [Average Execution Time:0.00009] 
